,,,Project:,Wilamp DCU,,,,,,,,
,,,Document:,BILL OF MATERIALS (BOM),,,,,,,,
,,,Revision:,V1.0,,,,,,,,
,,,Prepared By:,Jbayalas,,,,,,,,
,,,Release Date:,5-Jan-19,,,,,,,,
,,,,,,,,,,,,
FUNCTION,QTY,REFDES,DESC,MPN,MFT,PACKAGE,VALUE,RATING,TYPE,LOAD,Library Name,
JENNIC,9,"R1.1, R1.2, R1.3, R10.1, R10.2, R10.3, R11.1, R11.2, R11.3",RES SMD 1K OHM 1% 1/10W 0402,MCS04020C1001FE000,Vishay Beyschlag,R0402,1k,1/10W,SMD,,Res.IntLib,
CRYPTO,2,"R23, R24",RES SMD 1K OHM 1% 1/10W 0402,MCS04020C1001FE000,Vishay Beyschlag,R0402,1k,1/10W,SMD,,Res.IntLib,
PIC,2,"R36, R37",RES SMD 1K OHM 1% 1/10W 0402,MCS04020C1001FE000,Vishay Beyschlag,R0402,1k,1/10W,SMD,,Res.IntLib,
JENNIC,6,"R13.1, R13.2, R13.3, R14.1, R14.2, R14.3",RES SMD 1K OHM 1% 1/10W 0603,ERJ-3EKF1001V,Panasonic Electronic Components,R0603,1k,0.1W,SMD,,Res.IntLib,
PwrInFilter,1,R55,RES SMD 1K OHM 1% 1/10W 0603,ERJ-3EKF1001V,Panasonic Electronic Components,R0603,1k,0.1W,SMD,,Res.IntLib,
5v_dcdc,1,R56,RES SMD 1K OHM 1% 1/10W 0603,ERJ-3EKF1001V,Panasonic Electronic Components,R0603,1k,0.1W,SMD,,Res.IntLib,
5v_dcdc,2,"R44, R46",RES SMD 1K OHM 1% 1/16W 0402,CRCW04021K00FKED,Vishay Dale,R0402,1k,0.063W,SMD,,Res.IntLib,
5v_dcdc,1,R6,RES SMD 1K OHM 1% 1/16W 0603,6-1879336-2,TE Connectivity AMP Connectors,R0603,1k,0.063W,SMD,,Res.IntLib,
3v3_dcdc,1,R42,RES SMD 2.2K OHM 1% 1/10W 0402,ERJ-2RKF2201X,Panasonic Electronic Components,R0402,2.2k,"0.1W, 1/10W",SMD,,Res.IntLib,
PIC,2,"R17, R18",RES SMD 220 OHM 5% 1/16W 0402,RC0402JR-07220RL,Yageo,R0402,220,,SMD,,Res.IntLib,
LED,4,"R7, R8, R9, R16",RES SMD 220 OHM 5% 1/16W 0402,RC0402JR-07220RL,Yageo,R0402,220,,SMD,,Res.IntLib,
